Entry	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)
Q3E770	fungal-type cell wall organization [GO:0031505]	structural constituent of cell wall [GO:0005199]	fungal-type cell wall [GO:0009277]
P53297	maintenance of rDNA [GO:0043007]; negative regulation of TORC1 signaling [GO:1904262]; positive regulation of mRNA polyadenylation [GO:1900365]; positive regulation of translation [GO:0045727]; regulation of cytoplasmic mRNA processing body assembly [GO:0010603]; regulation of mitophagy [GO:1901524]; stress granule assembly [GO:0034063]	mRNA binding [GO:0003729]; protein self-association [GO:0043621]; RNA binding [GO:0003723]	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; polysome [GO:0005844]
Q12252		calcium activated cation channel activity [GO:0005227]	endoplasmic reticulum [GO:0005783]; fungal-type vacuole [GO:0000324]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q12099	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]	ATP binding [GO:0005524]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]	catalytic step 2 spliceosome [GO:0071013]; FAL1-SGD1 complex [GO:0097078]; nucleolus [GO:0005730]; preribosome, small subunit precursor [GO:0030688]
P17214	G-quadruplex DNA formation [GO:0071919]; regulation of telomere maintenance via telomerase [GO:0032210]; telomere maintenance [GO:0000723]; telomere maintenance via telomerase [GO:0007004]	RNA binding [GO:0003723]; single-stranded DNA binding [GO:0003697]; telomeric DNA binding [GO:0042162]	chromosome, telomeric region [GO:0000781]; nucleolus [GO:0005730]; nucleus [GO:0005634]; telomerase holoenzyme complex [GO:0005697]
Q05670	conjugation with cellular fusion [GO:0000747]; cytogamy [GO:0000755]; karyogamy involved in conjugation with cellular fusion [GO:0000742]; regulation of termination of mating projection growth [GO:0031385]	guanyl-nucleotide exchange factor activity [GO:0005085]	cytoplasm [GO:0005737]; mating projection tip [GO:0043332]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
P25659	chromatin organization [GO:0006325]	proteasome binding [GO:0070628]	
P43577	UDP-N-acetylglucosamine biosynthetic process [GO:0006048]	glucosamine 6-phosphate N-acetyltransferase activity [GO:0004343]; monosaccharide binding [GO:0048029]; N-acetyltransferase activity [GO:0008080]	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; Golgi apparatus [GO:0005794]; nucleus [GO:0005634]
Q04322	endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; exocytosis [GO:0006887]; positive regulation of GTPase activity [GO:0043547]; protein transport [GO:0015031]; regulation of exocytosis [GO:0017157]	GTPase activator activity [GO:0005096]	cellular bud [GO:0005933]; cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; cytoplasm [GO:0005737]; Golgi-associated vesicle [GO:0005798]; incipient cellular bud site [GO:0000131]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]
P27472	glycogen biosynthetic process [GO:0005978]	glycogen (starch) synthase activity [GO:0004373]; identical protein binding [GO:0042802]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P16622	heme biosynthetic process [GO:0006783]	ferrochelatase activity [GO:0004325]	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
P53152	free ubiquitin chain polymerization [GO:0010994]; postreplication repair [GO:0006301]; protein K63-linked ubiquitination [GO:0070534]; protein polyubiquitination [GO:0000209]; protein targeting to vacuolar membrane [GO:0044395]	ligase activity [GO:0016874]; ubiquitin-protein transferase activity [GO:0004842]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; fungal-type vacuole membrane [GO:0000329]; nucleus [GO:0005634]; ubiquitin conjugating enzyme complex [GO:0031371]
Q08970	cellular iron ion homeostasis [GO:0006879]	cation transmembrane transporter activity [GO:0008324]	integral component of membrane [GO:0016021]; membrane [GO:0016020]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]
P00572	dTDP biosynthetic process [GO:0006233]; dTTP biosynthetic process [GO:0006235]; dUDP biosynthetic process [GO:0006227]; nucleoside diphosphate phosphorylation [GO:0006165]	ATP binding [GO:0005524]; nucleoside diphosphate kinase activity [GO:0004550]; thymidylate kinase activity [GO:0004798]; uridylate kinase activity [GO:0009041]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
P32259	negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of establishment of protein localization to chromosome [GO:0070202]; RNA polymerase II preinitiation complex assembly [GO:0051123]	RNA polymerase II activating transcription factor binding [GO:0001102]	core mediator complex [GO:0070847]; mediator complex [GO:0016592]
P27705	carbohydrate metabolic process [GO:0005975]; carbon catabolite repression of transcription from RNA polymerase II promoter by glucose [GO:0000433]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription from RNA polymerase II promoter by glucose [GO:0061987]; positive regulation of filamentous growth of a population of unicellular organisms in response to starvation [GO:1900436]; positive regulation of transcription by RNA polymerase II [GO:0045944]	DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]	cytoplasm [GO:0005737]; nuclear envelope lumen [GO:0005641]; nucleus [GO:0005634]
P26188	DNA dealkylation involved in DNA repair [GO:0006307]; methylation [GO:0032259]	DNA binding [GO:0003677]; methylated-DNA-[protein]-cysteine S-methyltransferase activity [GO:0003908]	nucleus [GO:0005634]
P33767	protein N-linked glycosylation [GO:0006487]; protein N-linked glycosylation via asparagine [GO:0018279]	transferase activity, transferring glycosyl groups [GO:0016757]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; nuclear envelope [GO:0005635]; oligosaccharyltransferase complex [GO:0008250]
P27514	anion transmembrane transport [GO:0098656]; glycerol-3-phosphate transmembrane transport [GO:0015794]; phosphate ion transport [GO:0006817]; polyphosphate metabolic process [GO:0006797]; regulation of phosphate transmembrane transport [GO:2000185]	glycerol-3-phosphate transmembrane transporter activity [GO:0015169]; inorganic phosphate transmembrane transporter activity [GO:0005315]	fungal-type vacuole membrane [GO:0000329]; integral component of membrane [GO:0016021]; vacuole-mitochondrion membrane contact site [GO:1990816]
Q06674	DNA repair [GO:0006281]		
Q04431			chromosome, centromeric region [GO:0000775]; condensed nuclear chromosome kinetochore [GO:0000778]; cytoplasm [GO:0005737]; nuclear membrane [GO:0031965]; spindle pole body [GO:0005816]
P40070	mRNA splicing, via spliceosome [GO:0000398]; nuclear-transcribed mRNA catabolic process [GO:0000956]; P-body assembly [GO:0033962]; rRNA processing [GO:0006364]; spliceosomal snRNP assembly [GO:0000387]; tRNA processing [GO:0008033]	RNA binding [GO:0003723]; U6 snRNA binding [GO:0017070]	cytoplasm [GO:0005737]; Lsm1-7-Pat1 complex [GO:1990726]; nucleolus [GO:0005730]; nucleus [GO:0005634]; P-body [GO:0000932]; sno(s)RNA-containing ribonucleoprotein complex [GO:0005732]; spliceosomal complex [GO:0005681]; spliceosomal tri-snRNP complex [GO:0097526]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U6 snRNP [GO:0005688]
Q3E772	cytoplasmic translational elongation [GO:0002182]; iron ion homeostasis [GO:0055072]	ribosome binding [GO:0043022]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P33308	negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]; RNA polymerase II preinitiation complex assembly [GO:0051123]	structural molecule activity [GO:0005198]; transcription coactivator activity [GO:0003713]	core mediator complex [GO:0070847]; cytosol [GO:0005829]; mediator complex [GO:0016592]; nucleus [GO:0005634]
P38857	mitochondrial pyruvate transmembrane transport [GO:0006850]	pyruvate transmembrane transporter activity [GO:0050833]	integral component of mitochondrial inner membrane [GO:0031305]; mitochondrion [GO:0005739]
Q03920	peptidyl-glutamine methylation [GO:0018364]; regulation of translation [GO:0006417]	nucleic acid binding [GO:0003676]; protein-(glutamine-N5) methyltransferase activity [GO:0102559]; protein methyltransferase activity [GO:0008276]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]	cytoplasm [GO:0005737]; eRF1 methyltransferase complex [GO:0035657]; nucleus [GO:0005634]
P52920	iron-sulfur cluster assembly [GO:0016226]; tRNA wobble uridine modification [GO:0002098]	4 iron, 4 sulfur cluster binding [GO:0051539]; ATPase activity [GO:0016887]; ATP binding [GO:0005524]; iron ion binding [GO:0005506]; iron-sulfur cluster binding [GO:0051536]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; Nbp35-Cfd1 ATPase complex [GO:1904564]; nucleus [GO:0005634]
Q08689	N-terminal protein amino acid acetylation [GO:0006474]	peptide alpha-N-acetyltransferase activity [GO:0004596]	NatA complex [GO:0031415]
P35729	double-strand break repair [GO:0006302]; mRNA export from nucleus [GO:0006406]; mRNA export from nucleus in response to heat stress [GO:0031990]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nuclear pore localization [GO:0051664]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery [GO:0000973]; protein export from nucleus [GO:0006611]; protein import into nucleus [GO:0006606]; ribosomal large subunit export from nucleus [GO:0000055]; subtelomeric heterochromatin assembly [GO:0031509]; telomere tethering at nuclear periphery [GO:0034398]	identical protein binding [GO:0042802]; structural constituent of nuclear pore [GO:0017056]	nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nuclear pore outer ring [GO:0031080]
P53935	response to salt stress [GO:0009651]		cytoplasm [GO:0005737]
P40078	maturation of 5.8S rRNA [GO:0000460]; maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000466]; maturation of LSU-rRNA [GO:0000470]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; ribosomal large subunit biogenesis [GO:0042273]		nucleolus [GO:0005730]; nucleus [GO:0005634]; preribosome, large subunit precursor [GO:0030687]
P10592	cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; negative regulation of cell aging [GO:0090344]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein folding [GO:0006457]; protein refolding [GO:0042026]; SRP-dependent cotranslational protein targeting to membrane, translocation [GO:0006616]; tRNA import into nucleus [GO:0035719]; vesicle-mediated transport [GO:0016192]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; heat shock protein binding [GO:0031072]; misfolded protein binding [GO:0051787]; protein folding chaperone [GO:0044183]; tRNA binding [GO:0000049]; unfolded protein binding [GO:0051082]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; fungal-type vacuole membrane [GO:0000329]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; polysome [GO:0005844]
P0CS90	cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; positive regulation of endodeoxyribonuclease activity [GO:0032079]; protein import into mitochondrial matrix [GO:0030150]; protein refolding [GO:0042026]; protein unfolding [GO:0043335]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; enzyme regulator activity [GO:0030234]; heat shock protein binding [GO:0031072]; misfolded protein binding [GO:0051787]; protein folding chaperone [GO:0044183]; unfolded protein binding [GO:0051082]	cytoplasm [GO:0005737]; mitochondrial inner membrane [GO:0005743]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; PAM complex, Tim23 associated import motor [GO:0001405]
Q05931	cellular iron ion homeostasis [GO:0006879]; cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; iron-sulfur cluster assembly [GO:0016226]; protein maturation by [2Fe-2S] cluster transfer [GO:0106034]; protein maturation by iron-sulfur cluster transfer [GO:0097428]; protein refolding [GO:0042026]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; heat shock protein binding [GO:0031072]; misfolded protein binding [GO:0051787]; protein folding chaperone [GO:0044183]; unfolded protein binding [GO:0051082]	cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q05164	fungal-type cell wall organization [GO:0031505]	glucosidase activity [GO:0015926]	anchored component of membrane [GO:0031225]; cell periphery [GO:0071944]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
P43579	nucleosome mobilization [GO:0042766]		cytosol [GO:0005829]; Ino80 complex [GO:0031011]; nucleus [GO:0005634]
P07342	branched-chain amino acid biosynthetic process [GO:0009082]; isoleucine biosynthetic process [GO:0009097]; valine biosynthetic process [GO:0009099]	acetolactate synthase activity [GO:0003984]; flavin adenine dinucleotide binding [GO:0050660]; magnesium ion binding [GO:0000287]; thiamine pyrophosphate binding [GO:0030976]	acetolactate synthase complex [GO:0005948]; mitochondrion [GO:0005739]
Q03694	peroxisome inheritance [GO:0045033]	protein-macromolecule adaptor activity [GO:0030674]	extrinsic component of intraperoxisomal membrane [GO:0005780]; peroxisome [GO:0005777]
P50095	GMP biosynthetic process [GO:0006177]; GTP biosynthetic process [GO:0006183]	identical protein binding [GO:0042802]; IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; mRNA binding [GO:0003729]; nucleotide binding [GO:0000166]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
P15700	'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; CDP biosynthetic process [GO:0046705]; nucleobase-containing compound metabolic process [GO:0006139]; UDP biosynthetic process [GO:0006225]	adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; cytidylate kinase activity [GO:0004127]; UMP kinase activity [GO:0033862]; uridylate kinase activity [GO:0009041]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
